group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,is_ribo
0,TSHZ2,11.703295,4.9261584,1.2259890129533323e-31,1.0923724130393876e-29,0.2743437764606266,0.01495448634590377,False
0,MAL,12.537446,4.7967443,4.6576741003384686e-36,4.640695386869255e-34,0.29466553767993225,0.016905071521456438,False
0,LEF1,18.697363,4.510574,5.20146627254609e-78,1.1820770430170472e-75,0.4479254868755292,0.036410923276983094,False
0,TRAC,30.817326,3.540355,1.5356944440916008e-208,1.0353651942065572e-204,0.9060118543607113,0.24577373211963588,False
0,INPP4B,16.198606,3.4354134,5.158279692144458e-59,8.99408319425119e-57,0.4182895850973751,0.0611183355006502,False
0,AQP3,11.899345,3.312086,1.1927915358228293e-32,1.1066697983280985e-30,0.3065198983911939,0.04096228868660598,False
0,SERINC5,16.122068,3.3102465,1.7853082836711085e-58,3.058722601671517e-56,0.4225232853513971,0.07152145643693109,False
0,TRAT1,12.49001,3.2303925,8.464283038172784e-36,8.351150669760132e-34,0.32430143945808637,0.044863459037711315,False
0,IL7R,23.198858,3.1638944,4.675560888051798e-119,2.555889041127991e-116,0.655376799322608,0.1378413524057217,False
0,CCR7,14.30015,3.1351376,2.1833802344697216e-46,2.7429222746822726e-44,0.38018628281117695,0.0611183355006502,False
1,S100A8,33.15717,8.437442,4.464097194065664e-241,3.0096943282390705e-237,0.9748427672955975,0.06467439785905442,False
1,S100A9,33.460457,7.920452,1.813313988545239e-245,1.8338044366158e-241,0.989517819706499,0.13559322033898305,False
1,FOLR3,10.290659,7.6600595,7.764301368900904e-25,5.710573072268716e-23,0.3018867924528302,0.0026761819803746653,False
1,LYZ,33.490486,7.572297,6.630501706570532e-246,1.3410852751709558e-241,0.9979035639412998,0.22836752899197146,False
1,S100A12,9.2132225,6.750403,3.1647779574404847e-20,1.9456169898842325e-18,0.27253668763102723,0.0053523639607493305,False
1,LGALS2,29.608406,6.6961203,1.164735091614666e-192,1.812148612538326e-189,0.8825995807127882,0.049955396966993755,False
1,CD14,21.57423,6.3644943,3.136597793004415e-103,1.3791484122023324e-100,0.6415094339622641,0.025869759143621766,False
1,CST3,30.928787,6.293277,4.9007655065016975e-210,1.416041187635762e-206,0.9937106918238994,0.1462979482604817,False
1,FCN1,31.205935,6.2058616,8.85168097463048e-214,2.983901656547935e-210,0.960167714884696,0.09500446030330062,False
1,TYROBP,31.859238,5.803585,9.804927921172535e-223,4.957861803340892e-219,0.9937106918238994,0.19090098126672614,False
2,IGHM,26.955273,9.218152,4.947629891547166e-160,2.0014152437286597e-156,0.8879551820728291,0.026672311600338696,False
2,CD79A,28.29454,8.8939085,4.0339537105796585e-176,4.0795373875092086e-172,0.9299719887955182,0.01651143099068586,False
2,TCL1A,18.77782,8.684126,1.146935386554272e-78,9.665797970186128e-76,0.6190476190476191,0.00550381033022862,False
2,NIBAN3,14.975601,8.653316,1.0600426761988991e-50,4.9861449229764966e-48,0.49299719887955185,0.002540220152413209,False
2,FCRLA,8.769203,8.621964,1.7993507606206505e-18,2.2604763033734954e-16,0.28851540616246496,0.0012701100762066045,False
2,IGHD,20.23499,8.613259,4.81726895534032e-91,5.413004549484072e-88,0.6666666666666666,0.0059271803556308214,False
2,LINC00926,19.871014,8.32063,7.252347826932507e-88,7.334299357376845e-85,0.6554621848739496,0.006350550381033023,False
2,VPREB3,14.516726,8.106759,9.493806040406155e-48,4.1743852385490195e-45,0.4789915966386555,0.003810330228619814,False
2,MS4A1,25.100529,8.036875,4.907669054436549e-139,1.1029168255003738e-135,0.8291316526610645,0.013547840812870448,False
2,FCER2,11.711282,7.893646,1.115792777022643e-31,2.8933365010333305e-29,0.3865546218487395,0.0029635901778154107,False
3,FGFBP2,19.997463,8.092488,5.794494161160683e-89,1.065449444578509e-85,0.7256944444444444,0.013986013986013986,False
3,GZMB,21.051844,7.986448,2.199526766253331e-98,5.560953546779983e-95,0.7673611111111112,0.020567667626491155,False
3,GZMH,19.271008,7.8139343,9.408689465367812e-83,1.5858346093877446e-79,0.7013888888888888,0.012751953928424516,False
3,PRSS23,8.720775,7.679936,2.7630478412815174e-18,3.628922444010388e-16,0.3159722222222222,0.0024681201151789387,False
3,ADGRG1,7.3656983,7.3872023,1.762216026634117e-13,1.7053866676890743e-11,0.2673611111111111,0.002879473467708762,False
3,NKG7,27.125933,7.378985,4.869818565621391e-162,9.849695030825825e-158,0.9895833333333334,0.16083916083916083,False
3,GNLY,16.907751,6.6482983,3.944794376412167e-64,3.989370552865624e-61,0.6354166666666666,0.05183052241875771,False
3,AKR1C3,7.9800296,6.60776,1.4629846824501179e-15,1.6258422080898945e-13,0.2916666666666667,0.005758946935417524,False
3,PRF1,21.455141,6.1725836,4.088758742957e-102,1.1814176333578326e-98,0.7986111111111112,0.055121349238996295,False
3,CST7,25.282661,5.9872394,4.9556980350421844e-141,5.011697422838161e-137,0.9444444444444444,0.09173179761415055,False
4,GZMK,16.799013,5.7968574,2.481403538757526e-63,2.5094433987454856e-59,0.7525252525252525,0.047996826656088856,False
4,CCL5,17.962328,4.8285713,3.843484430037923e-72,7.773831608194702e-68,0.9242424242424242,0.20269734232447442,False
4,NKG7,14.745726,3.5280306,3.277794299438792e-49,2.2098889166816333e-45,0.8585858585858586,0.20071400238000794,False
4,KLRG1,8.529267,3.1693935,1.4727724426027086e-17,1.6549053013379103e-14,0.43434343434343436,0.08330027766759222,False
4,GZMA,12.1733465,3.1443396,4.310431435020151e-34,1.0897848275589696e-30,0.6767676767676768,0.14399047996826655,False
4,LYAR,11.461293,3.0307689,2.0641040209922094e-30,4.174856792858843e-27,0.6060606060606061,0.1511305037683459,False
4,NCR3,6.46813,2.9379246,9.922304819497555e-11,3.7865761750784444e-08,0.3383838383838384,0.07100357001190004,False
4,TRGC2,7.052467,2.9076817,1.757732448979647e-12,1.0157684718017813e-09,0.3686868686868687,0.06822689408964697,False
4,CST7,11.4982395,2.8710632,1.3463287476514342e-30,3.0256494722219896e-27,0.6616161616161617,0.14438714795715984,False
4,CTSW,13.158742,2.858664,1.5158958677333962e-39,5.1100849701292784e-36,0.7676767676767676,0.23284410948036494,False
5,CKB,6.7194786,6.37993,1.8237614737685663e-11,9.19885276021023e-10,0.3021978021978022,0.003941663381947182,False
5,CDKN1C,9.719918,6.0268736,2.4797985978236345e-22,2.3113551354645544e-20,0.43956043956043955,0.007094994087504927,False
5,RDUR,6.42418,5.772271,1.3258212484832506e-10,6.207421428662553e-09,0.29120879120879123,0.005912495072920773,False
5,MS4A4A,7.629615,5.7243958,2.3545574912807923e-14,1.413153703817368e-12,0.34615384615384615,0.007094994087504927,False
5,TCF7L2,16.057005,5.3457065,5.106207825945529e-58,3.331553531857234e-55,0.7472527472527473,0.046511627906976744,False
5,HES4,11.104037,5.338646,1.199018639164224e-28,1.6276074493782278e-26,0.510989010989011,0.01694915254237288,False
5,FCGR3A,18.07478,5.331126,5.035692337657927e-73,9.259264838315385e-70,0.8626373626373627,0.09854158454867955,False
5,MS4A7,15.326285,4.960835,5.10347560120469e-53,2.716392039735949e-50,0.7252747252747253,0.05951911706740244,False
5,PELATON,16.655176,4.939011,2.775226201812605e-62,2.2452690063144703e-59,0.7912087912087912,0.06148994875837603,False
5,LST1,19.63641,4.8739386,7.555521993010739e-86,5.09393292768784e-82,0.945054945054945,0.272763106030745,False
6,FCER1A,8.575717,9.858845,9.847119558797803e-18,3.319464003270739e-14,0.8333333333333334,0.003727171077152441,False
6,SERPINF1,4.274287,7.982322,1.9174955206365824e-05,0.00265638797262983,0.4166666666666667,0.0022363026462914647,False
6,FLT3,3.409043,7.010701,0.0006519116548186194,0.0426717318134673,0.3333333333333333,0.002609019754006709,False
6,ENHO,3.9760416,6.9518986,7.007188510643878e-05,0.007619752409477586,0.3888888888888889,0.003354453969437197,False
6,CLEC10A,6.768503,6.8466434,1.3012138434562334e-11,1.144276139032425e-08,0.6666666666666666,0.013790532985464033,False
6,CD1C,4.99463,5.5376883,5.894875950971833e-07,0.0001310217153674245,0.5,0.016772269847185987,False
6,CST3,8.747548,5.043917,2.180388397582574e-18,8.820107145901028e-15,1.0,0.285501304509877,False
6,LYZ,7.46352,4.940339,8.424117846651985e-14,1.3106631351260236e-10,1.0,0.3548266865449124,False
6,HLA-DRA,8.751822,4.7184896,2.0993481710910976e-18,8.820107145901028e-15,0.9722222222222222,0.4468878121505777,False
6,CACNA2D3,4.360737,4.6283383,1.2962506938185784e-05,0.0019277916568510712,0.4444444444444444,0.016772269847185987,False
